,Open,High,Low,Close,Volume
2014-05-30,22.7571,23.0061,22.4607,22.625,4252416
2014-06-02,22.6782,22.7286,22.2321,22.4425,2894192
2014-06-03,22.3464,22.8121,22.3214,22.7932,2299724
2014-06-04,22.8143,23.1389,22.7146,23.0321,2587228
2014-06-05,23.0536,23.1918,22.9504,23.1068,2238208
2014-06-06,23.1714,23.2593,23.0168,23.0589,5618984
2014-06-09,23.0575,23.47,22.9325,23.4425,2653908
2014-06-10,23.45,23.7625,23.3925,23.5725,2252680
2014-06-11,23.54,23.69,23.3375,23.465,1655268
2014-06-12,23.475,23.5375,22.975,23.0125,1924044
2014-06-13,23.0625,23.165,22.72,22.87,2021544
2014-06-16,22.85,23.1875,22.725,23.0675,1306436
2014-06-17,23.0825,23.2,22.95,23.0,1054028
2014-06-18,23.065,23.25,22.8375,23.05,1225360
2014-06-19,23.125,23.1675,22.8425,22.8775,1318152
2014-06-20,22.925,23.1375,22.705,22.855,2976056
2014-06-23,22.625,22.905,22.625,22.67,1566828
2014-06-24,22.67,22.935,22.54,22.595,1456512
2014-06-25,22.6025,22.675,22.4125,22.5875,1305412
2014-06-26,22.59,22.7825,22.45,22.7425,1206304
2014-06-27,22.7375,23.01,22.665,22.985,2422476
2014-06-30,23.0275,23.4325,23.0,23.28,1794332
2014-07-01,23.345,23.5175,23.1975,23.395,1396924
2014-07-02,23.395,23.525,23.2725,23.3575,1042212
2014-07-03,23.4075,23.525,23.3,23.5125,832504
2014-07-07,23.5125,24.0925,23.475,24.0725,2068968
2014-07-08,24.0725,24.2,23.48,23.7875,2382408
2014-07-09,23.85,23.9875,23.69,23.8425,1336904
2014-07-10,23.845,23.8875,23.38,23.72,1384864
2014-07-11,23.795,23.9725,23.715,23.8275,1209984
2014-07-14,23.805,24.2225,23.805,24.155,1565732
2014-07-15,24.1875,24.29,23.7575,24.2,1627464
2014-07-16,24.345,24.4975,23.685,23.695,1894592
2014-07-17,23.7875,23.82,23.1425,23.225,2037684
2014-07-18,23.285,23.685,23.255,23.625,1845156
2014-07-21,23.625,23.815,23.43,23.5325,1383764
2014-07-22,23.625,23.8175,23.2,23.5375,1936280
2014-07-23,23.585,24.47,23.53,24.2925,3355808
2014-07-24,24.3275,24.3725,24.105,24.1875,1610540
2014-07-25,24.225,24.46,24.16,24.405,1587508
2014-07-28,24.4,24.81,24.35,24.7575,1983788
2014-07-29,24.755,24.87,24.5,24.565,1585156
2014-07-30,24.6125,24.675,24.4175,24.535,1223284
2014-07-31,24.4875,24.55,23.8125,23.86,2060568
2014-08-01,23.82,24.155,23.3275,24.0475,1742108
2014-08-04,24.0,24.21,23.7925,23.885,1488532
2014-08-05,23.9325,23.9325,23.59,23.8625,1940260
2014-08-06,23.875,23.875,23.575,23.7425,1247136
2014-08-07,23.6525,23.9875,23.525,23.55,1625724
2014-08-08,23.3125,23.705,23.3125,23.6325,1541088
2014-08-11,23.8875,24.0575,23.71,24.0525,1337912
2014-08-12,24.0625,24.22,23.9025,23.9875,1258552
2014-08-13,24.0725,24.33,23.9975,24.32,1151460
2014-08-14,24.3125,24.395,24.2,24.395,1021316
2014-08-15,24.385,24.5475,24.215,24.4975,1816000
2014-08-18,24.495,24.8425,24.495,24.8325,1758716
2014-08-19,24.85,25.17,24.79,25.1075,2504080
2014-08-20,25.1075,25.2725,24.9875,25.12,1977956
2014-08-21,25.12,25.235,25.0275,25.1525,1210532
2014-08-22,25.1525,25.3775,25.025,25.3625,1630952
2014-08-25,25.3375,25.5425,25.305,25.3225,1481520
2014-08-26,25.3125,25.4075,25.2025,25.255,1203220
2014-08-27,25.2725,25.6425,25.175,25.525,1744008
2014-08-28,25.5875,25.695,25.33,25.595,1911672
2014-08-29,25.655,25.7325,25.55,25.6375,1659300
2014-09-02,25.66,25.955,25.625,25.815,1842540
2014-09-03,25.7475,25.9925,24.645,24.75,4606424
2014-09-04,25.0,25.0225,24.03,24.57,3150460
2014-09-05,24.525,24.8475,24.5125,24.7475,2108068
2014-09-08,24.8725,24.9825,24.5,24.6125,1696064
2014-09-09,24.75,25.77,24.035,24.43,7020220
2014-09-10,23.475,25.2975,23.475,25.2975,3787648
2014-09-11,25.3,25.4,24.905,25.33,2303608
2014-09-12,25.3325,25.5475,25.1475,25.4,2416576
2014-09-15,25.42,26.0175,25.36,25.4375,2275948
2014-09-16,25.4625,25.49,24.7225,25.11,2498644
2014-09-17,25.175,25.72,25.025,25.4,2069228
2014-09-18,25.33,25.6775,25.33,25.45,1378212
2014-09-19,25.4975,25.59,25.22,25.2875,2660804
2014-09-22,25.27,25.5625,25.125,25.1775,1925036
2014-09-23,25.265,25.735,25.07,25.6375,2333816
2014-09-24,25.595,25.7125,25.3,25.345,2264696
2014-09-25,25.2625,25.4375,24.43,24.5675,3730912
2014-09-26,24.6875,25.1875,24.4675,25.175,2340540
2014-09-29,25.135,25.155,24.63,24.985,1805084
2014-09-30,25.0275,25.385,25.0275,25.12,1935488
2014-10-01,25.125,25.2,24.675,24.8075,1913372
